                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.5849,                 2.3426,                 1.9049,                0.46603,                0.43917,                0.43038,                0.25191,                 1.4487,                 1.8925,                 1.8249,              0.0003341,              0.0003341,              0.0003341
                    100,                 1.6018,                 2.2812,                 1.8728,                0.51702,                0.42097,                0.44155,                0.26733,                  1.407,                 1.8919,                 1.7856,             0.00033374,             0.00033374,             0.00033374
                    101,                 1.5999,                 2.2668,                 1.9015,                0.39863,                0.47106,                0.43794,                0.27043,                 1.3746,                 1.8555,                 1.7617,             0.00033337,             0.00033337,             0.00033337
                    102,                 1.6461,                 2.3022,                 1.9422,                0.41397,                0.42208,                0.41725,                0.25586,                 1.4037,                 1.8981,                 1.7759,               0.000333,               0.000333,               0.000333
                    103,                 1.6061,                 2.3971,                 1.9223,                0.47643,                0.44462,                0.43682,                0.26711,                 1.4257,                 1.8652,                 1.7809,             0.00033264,             0.00033264,             0.00033264
                    104,                 1.5827,                 2.3113,                 1.9156,                0.42921,                0.45698,                0.42822,                0.25536,                 1.4032,                 1.9216,                 1.7817,             0.00033227,             0.00033227,             0.00033227
                    105,                 1.6445,                 2.3148,                 1.9226,                 0.4892,                0.45444,                0.45298,                0.27401,                 1.3714,                 1.8482,                 1.7314,              0.0003319,              0.0003319,              0.0003319
                    106,                 1.5886,                 2.2175,                 1.8641,                0.52266,                 0.4318,                  0.461,                0.29061,                 1.3727,                 1.8137,                 1.7322,             0.00033154,             0.00033154,             0.00033154
                    107,                 1.6184,                 2.2912,                 1.8952,                0.47126,                0.44906,                0.44308,                0.26744,                 1.4141,                 1.9067,                 1.7587,             0.00033117,             0.00033117,             0.00033117
                    108,                 1.5198,                 2.2322,                 1.8422,                0.44652,                0.48328,                0.46809,                0.28752,                  1.353,                 1.8979,                 1.7286,             0.00033081,             0.00033081,             0.00033081
                    109,                 1.5624,                 2.2011,                 1.8909,                0.45162,                0.47522,                0.46106,                0.28176,                 1.3582,                 1.8723,                 1.7397,             0.00033044,             0.00033044,             0.00033044
                    110,                 1.5443,                 2.1544,                  1.827,                0.45467,                0.50008,                0.48262,                0.30239,                 1.3459,                 1.8028,                 1.7193,             0.00033007,             0.00033007,             0.00033007
                    111,                 1.5891,                 2.2054,                 1.8689,                0.45135,                0.47395,                0.46551,                0.29046,                 1.4239,                 1.8183,                   1.79,             0.00032971,             0.00032971,             0.00032971
                    112,                 1.5655,                 2.2868,                 1.8864,                0.46319,                0.50685,                0.48554,                0.30984,                 1.3603,                 1.7482,                 1.7294,             0.00032934,             0.00032934,             0.00032934
                    113,                 1.5794,                 2.1672,                 1.8595,                 0.4849,                0.48353,                0.47402,                0.28649,                  1.414,                 1.7429,                  1.776,             0.00032897,             0.00032897,             0.00032897
                    114,                 1.5323,                 2.2312,                 1.8501,                 0.4383,                 0.5027,                0.47186,                0.29097,                 1.3572,                 1.7729,                 1.7073,             0.00032861,             0.00032861,             0.00032861
                    115,                 1.5718,                 2.2746,                 1.8829,                0.47351,                0.47608,                0.48532,                0.30443,                 1.3587,                 1.7843,                 1.7121,             0.00032824,             0.00032824,             0.00032824
                    116,                 1.5347,                  2.213,                 1.8468,                0.48819,                 0.4654,                0.48351,                0.30608,                   1.34,                 1.8048,                 1.7152,             0.00032788,             0.00032788,             0.00032788
                    117,                 1.5626,                 2.2107,                 1.8538,                0.52801,                 0.4852,                0.51468,                0.32033,                   1.32,                  1.751,                 1.6894,             0.00032751,             0.00032751,             0.00032751
                    118,                 1.4921,                 2.1831,                 1.8268,                0.46525,                0.51751,                0.50338,                0.31838,                 1.3222,                 1.8018,                  1.696,             0.00032714,             0.00032714,             0.00032714
                    119,                  1.518,                 2.1608,                 1.8238,                0.49016,                0.44369,                0.47323,                0.29964,                 1.3445,                 1.7723,                 1.7042,             0.00032678,             0.00032678,             0.00032678
                    120,                  1.569,                 2.1338,                 1.8289,                0.46937,                0.48896,                0.48901,                0.30739,                 1.3273,                 1.7727,                 1.6977,             0.00032641,             0.00032641,             0.00032641
                    121,                 1.5502,                 2.1521,                 1.8376,                0.51148,                0.52283,                0.51311,                 0.3242,                  1.317,                 1.7135,                 1.7029,             0.00032604,             0.00032604,             0.00032604
                    122,                 1.5361,                 2.1367,                 1.8629,                0.49264,                0.52187,                0.52096,                0.32764,                 1.3265,                 1.7082,                    1.7,             0.00032568,             0.00032568,             0.00032568
                    123,                 1.5251,                 2.1538,                 1.8245,                 0.5452,                0.47298,                0.51562,                0.33464,                 1.3118,                 1.6494,                 1.6793,             0.00032531,             0.00032531,             0.00032531
                    124,                 1.5035,                 2.1241,                 1.7933,                0.50276,                0.49366,                 0.5198,                0.33069,                 1.3039,                 1.6504,                 1.6709,             0.00032495,             0.00032495,             0.00032495
                    125,                  1.513,                 2.0956,                 1.8241,                0.54925,                0.47477,                0.52464,                0.33303,                 1.3227,                 1.6437,                 1.6819,             0.00032458,             0.00032458,             0.00032458
                    126,                 1.4878,                 2.1013,                 1.8102,                0.50036,                0.52537,                0.53488,                0.34023,                 1.3014,                 1.6211,                 1.6824,             0.00032421,             0.00032421,             0.00032421
                    127,                 1.5422,                 2.1293,                 1.8493,                0.45669,                0.52196,                0.51317,                0.32102,                 1.3027,                 1.7161,                 1.6688,             0.00032385,             0.00032385,             0.00032385
                    128,                 1.5278,                 2.0521,                 1.8059,                0.56684,                0.50212,                0.55213,                0.35629,                 1.2832,                 1.6582,                 1.6589,             0.00032348,             0.00032348,             0.00032348
                    129,                 1.4969,                 2.1311,                 1.7891,                0.52439,                0.50768,                0.53239,                  0.341,                 1.3086,                 1.7475,                 1.6806,             0.00032311,             0.00032311,             0.00032311
                    130,                 1.4404,                 2.0204,                 1.7625,                0.46164,                0.57881,                0.54351,                0.34757,                 1.2903,                 1.7358,                 1.6641,             0.00032275,             0.00032275,             0.00032275
                    131,                  1.516,                 2.1103,                 1.8285,                0.49694,                0.53695,                0.53517,                0.34095,                 1.3102,                 1.6585,                 1.6802,             0.00032238,             0.00032238,             0.00032238
                    132,                 1.4907,                 2.0877,                  1.815,                0.57211,                0.49279,                0.54685,                 0.3506,                 1.2986,                 1.6089,                   1.66,             0.00032201,             0.00032201,             0.00032201
                    133,                 1.4571,                  2.085,                 1.7934,                0.54198,                0.52693,                0.54989,                0.36086,                 1.2595,                 1.5785,                 1.6237,             0.00032165,             0.00032165,             0.00032165
